src,dest,path,EdgeType
ATP6V1G2-TRAN,ATP6V1G2-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1G3-TRAN,ATP6V1G3-PROT,internal link,Gene-TRAN-Gene-PROT
ATP6V1H-TRAN,ATP6V1H-PROT,internal link,Gene-TRAN-Gene-PROT
ATR-TRAN,ATR-PROT,internal link,Gene-TRAN-Gene-PROT
ATXN1-TRAN,ATXN1-PROT,internal link,Gene-TRAN-Gene-PROT
ATXN1L-TRAN,ATXN1L-PROT,internal link,Gene-TRAN-Gene-PROT
AVP-TRAN,AVP-PROT,internal link,Gene-TRAN-Gene-PROT
AVPR1A-TRAN,AVPR1A-PROT,internal link,Gene-TRAN-Gene-PROT
AVPR1B-TRAN,AVPR1B-PROT,internal link,Gene-TRAN-Gene-PROT
AVPR2-TRAN,AVPR2-PROT,internal link,Gene-TRAN-Gene-PROT
AXIN1-TRAN,AXIN1-PROT,internal link,Gene-TRAN-Gene-PROT
AXIN2-TRAN,AXIN2-PROT,internal link,Gene-TRAN-Gene-PROT
AZI2-TRAN,AZI2-PROT,internal link,Gene-TRAN-Gene-PROT
BAD-TRAN,BAD-PROT,internal link,Gene-TRAN-Gene-PROT
BAG4-TRAN,BAG4-PROT,internal link,Gene-TRAN-Gene-PROT
BAMBI-TRAN,BAMBI-PROT,internal link,Gene-TRAN-Gene-PROT
BAX-TRAN,BAX-PROT,internal link,Gene-TRAN-Gene-PROT
BBC3-TRAN,BBC3-PROT,internal link,Gene-TRAN-Gene-PROT
BCAR1-TRAN,BCAR1-PROT,internal link,Gene-TRAN-Gene-PROT
BCL10-TRAN,BCL10-PROT,internal link,Gene-TRAN-Gene-PROT
BCL2-TRAN,BCL2-PROT,internal link,Gene-TRAN-Gene-PROT
BCL2A1-TRAN,BCL2A1-PROT,internal link,Gene-TRAN-Gene-PROT
BCL2L1-TRAN,BCL2L1-PROT,internal link,Gene-TRAN-Gene-PROT
BCL2L11-TRAN,BCL2L11-PROT,internal link,Gene-TRAN-Gene-PROT
BCL3-TRAN,BCL3-PROT,internal link,Gene-TRAN-Gene-PROT
BCL6-TRAN,BCL6-PROT,internal link,Gene-TRAN-Gene-PROT
